id;reference-date;status;status-prev;status-after;counterparty-type;economic-sector-code;geographic-area;balance;limit-balance
1;2019-01-01;1;0;0;corporate-type-2;4228;mid-west;117.16; -   
2;2019-01-01;1;0;0;retail-type-2;5928;east-coast;39.49; -   
3;2019-01-01;1;0;0;retail-type-2;5928;mid-west;14.10; -   
4;2019-01-01;1;0;0;small-enterprise;6078;south; 80.581.10 ; 80.506.12 
5;2019-01-01;1;0;0;retail-type-2;5928;south;17.01; -   
6;2019-01-01;1;0;0;retail-type-2;5928;north-est;1.28; -   
7;2019-01-01;2;0;0;retail-no-loan;5928;mid-west;746.17; 1.500.00 
8;2019-01-01;1;0;0;retail-type-2;7658;missing;27.62; -   
9;2019-01-01;1;0;0;retail-type-2;5928;south;79.18; -   
10;2019-01-01;1;0;0;retail-type-2;5928;west-coast;33.50; -   
11;2019-01-01;1;0;0;retail-type-2;5928;west-coast;14.68; -   
12;2019-01-01;1;0;0;corporate-type-2;4228;south;84.28; -   
13;2019-01-01;1;0;0;retail-no-loan;5928;south; 6.382.50 ; 6.100.00 
14;2019-01-01;1;0;0;retail-type-2;5928;mid-west;42.90; -   
15;2019-01-01;1;0;0;retail-type-2;5928;south;441.79; -   
16;2019-01-01;1;0;0;retail-type-2;5928;north-west;29.82; -   
17;2019-01-01;1;0;0;corporate-type-2;4848;west-coast;98.28; -   
18;2019-01-01;1;0;0;retail-no-loan;5928;mid-west; 4.774.49 ; 4.358.47 
19;2019-01-01;1;0;0;retail-type-2;5928;east-coast;489.36; -   
20;2019-01-01;1;0;0;retail-type-2;5928;east-coast;11.35; -   
21;2019-01-01;1;0;0;retail-type-2;5928;south;75.19; -   
22;2019-01-01;1;0;0;retail-type-2;5928;north-west;31.98; -   
23;2019-01-01;1;0;0;retail-type-2;5928;south;9.04; -   
24;2019-01-01;1;0;0;corporate-type-2;4228;south;80.53; -   
25;2019-01-01;1;0;0;corporate-type-2;4228;mid-west;94.52; -   
26;2019-01-01;1;0;0;corporate-type-2;4228;north-west;198.53; -   
27;2019-01-01;1;0;0;retail-type-2;5928;mid-west;24.44; -   
28;2019-01-01;1;0;0;corporate-type-2;4228;west-coast;137.24; -   
29;2019-01-01;1;0;0;corporate-type-2;4228;south;91.53; -   
30;2019-01-01;1;0;0;retail-type-2;5928;north-est;40.95; -   
31;2019-01-01;1;0;0;retail-type-2;5928;south;8.38; -   
32;2019-01-01;1;0;0;retail-type-2;5928;north-west;44.43; -   
33;2019-01-01;1;0;0;retail-type-2;5928;east-coast;26.82; -   
34;2019-01-01;1;0;0;retail-type-2;5928;north-west;68.05; -   
35;2019-01-01;1;0;0;retail-type-2;5928;west-coast;50.91; -   
36;2019-01-01;1;0;0;retail-type-2;5928;west-coast;20.62; -   
37;2019-01-01;1;0;0;retail-type-2;5928;north-west;16.65; -   
38;2019-01-01;1;0;0;retail-type-2;6078;south;16.49; -   
39;2019-01-01;1;0;0;corporate-type-2;4228;west-coast;57.47; -   
40;2019-01-01;1;0;0;retail-type-2;5928;north-west;18.40; -   
41;2019-01-01;1;0;0;retail-type-2;5928;north-est;20.64; -   
42;2019-01-01;2;0;0;retail-loan;5928;east-coast; 65.612.04 ; 63.105.99 
43;2019-01-01;1;0;0;retail-type-2;5928;north-est;25.08; -   
44;2019-01-01;1;0;0;retail-type-2;5928;north-west;24.81; -   
45;2019-01-01;1;0;0;retail-no-loan;5928;south; 3.097.29 ; 3.000.00 
46;2019-01-01;1;0;0;retail-type-2;5928;north-est;96.29; -   
47;2019-01-01;1;0;0;retail-type-2;5928;north-est;7.09; -   
48;2019-01-01;1;0;0;retail-type-2;5928;south;21.18; -   
49;2019-01-01;1;0;0;retail-type-2;5928;north-est;20.36; -   
50;2019-01-01;1;0;0;retail-type-2;5928;east-coast;84.68; -   
